"admUnitFiveId","name","admUnitFourId"
10044747876,"Purba Chhopakhali","10044747"
10044747994,"Uttar Karuna","10044747"
10044759033,"Ayela Chandkhali","10044759"
10044759067,"Bakultali","10044759"
10044759219,"Chandkhali","10044759"
10044759640,"Kalikabari","10044759"
10044759708,"Kazirabad","10044759"
10044759809,"Kumrakhali","10044759"
10044771118,"Bara Mokamia","10044771"
10044771236,"Charkhali","10044771"
10044771320,"Chhota Mokamia","10044771"
10044771354,"Dakshin Bara Mokamia","10044771"
10044771539,"Hat Mokamia","10044771"
10044771590,"Jhingabaria","10044771"
10044771623,"Kaialghata","10044771"
10044771657,"Karuna","10044771"
10044771674,"Karuna Joar","10044771"
10044771775,"Kismat Chhota Mokamia","10044771"
10044771826,"Machhuakhali","10044771"
10044771978,"Uttar Chhota Mokamia","10044771"
10044783168,"Bhora","10044783"
10044783421,"Dakshin Kalikabari","10044783"
10044783455,"Gabtali","10044783"
10044783910,"Sarishamuri","10044783"
10048501841,"Patharghata (Part)","10048501"
10048502841,"Patharghata (Part)","10048502"
10048503841,"Patharghata (Part)","10048503"
10048504127,"Baraitola (Part)","10048504"
10048505841,"Patharghata (Part)","10048505"
10048506127,"Baraitola (Part)","10048506"
10048507357,"Gotabacha (Part)","10048507"
10048508357,"Gotabacha (Part)","10048508"
10048509357,"Gotabacha (Part)","10048509"
10048511178,"Char Duanti","10048511"
10048511255,"Chhota Tengra","10048511"
10048511280,"Dakshin Jhan Para","10048511"
10048511306,"Gabbaria","10048511"
10048511433,"Hogla Pasha","10048511"
10048511739,"Matherkhal","10048511"
10048511943,"Saherabad","10048511"
10048511969,"Tafalbaria","10048511"
10048523051,"Bain Chutki","10048523"
10048523484,"Kakchira","10048523"
10048523663,"Lemua (Part)","10048523"
10048523918,"Rupdon","10048523"
10048535076,"Bara Patharghata","10048535"
10048535229,"Chhanbania","10048535"
10048535357,"Ghutabachha","10048535"
10048535510,"Kalibari (Part)","10048535"
10048535535,"Kalipur (Part)","10048535"
10048535561,"Kalmegha","10048535"
10048547510,"Kalibari (Part)","10048547"
10048547535,"Kalipur (Part)","10048547"
10048547586,"Kanthaltali","10048547"
10048547612,"Kiranpur","10048547"
10048547994,"Taluk Char Duani","10048547"
10048559459,"Jhan Para","10048559"
10048559714,"Manikkhali","10048559"
10048559765,"Nachna Para","10048559"
10048571025,"Badurtala","10048571"
10048571102,"Bara Tengra","10048571"
10048571127,"Baraitala(Part)","10048571"
10048571204,"Char Lathimara","10048571"
10048571331,"Gaharpur","10048571"
10048571382,"Haritana","10048571"
10048571408,"Hatempur","10048571"
10048571637,"Koralia","10048571"
10048571790,"Nij Lathimara","10048571"
