"admUnitFourId","name","area","admUnitThreeId"
10091880,"Dakshin Dighaldi Union ",5062,"100918"
10091887,"Veduria Union ",9765,"100918"
10091894,"Bhelu Miah Union ",13312,"100918"
10092101,"Ward No-01 ",NA,"100921"
10092102,"Ward No-02 ",NA,"100921"
10092103,"Ward No-03 ",NA,"100921"
10092104,"Ward No-04 ",NA,"100921"
10092105,"Ward No-05 ",NA,"100921"
10092106,"Ward No-06 ",NA,"100921"
10092107,"Ward No-07 ",NA,"100921"
10092108,"Ward No-08 ",NA,"100921"
10092109,"Ward No-09 ",NA,"100921"
10092116,"Bara Manika Union ",6928,"100921"
10092119,"Deula Union ",6192,"100921"
10092128,"Gangapur Union ",10982,"100921"
10092138,"Hassan Nagar Union ",5293,"100921"
10092147,"Kachia Union ",6408,"100921"
10092157,"Kutba Union ",5702,"100921"
10092166,"Pakshia Union ",6433,"100921"
10092176,"Sachra Union ",5046,"100921"
10092195,"Tabgi Union ",6337,"100921"
10092501,"Ward No-01 ",NA,"100925"
10092502,"Ward No-02 ",NA,"100925"
10092503,"Ward No-03 ",NA,"100925"
10092504,"Ward No-04 ",NA,"100925"
10092505,"Ward No-05 ",NA,"100925"
10092506,"Ward No-06 ",NA,"100925"
10092507,"Ward No-07 ",NA,"100925"
10092508,"Ward No-08 ",NA,"100925"
10092509,"Ward No-09 ",NA,"100925"
10092511,"Abu Bakarpur Union ",10108,"100925"
10092513,"Abdullapur Union ",7865,"100925"
10092514,"Adhakha Nazrul Nagar Union ",17635,"100925"
10092515,"Aminabad Union ",6145,"100925"
10092519,"Aslampur Union ",8284,"100925"
10092528,"Char Kalmi Union ",8443,"100925"
10092538,"Char Madras Union ",11144,"100925"
10092547,"Char Manika Union ",10136,"100925"
10092551,"Dhal Char Union ",5182,"100925"
10092553,"Ewajpur Union ",5736,"100925"
10092557,"Hazariganj Union ",7327,"100925"
10092563,"Jahanpur Union ",4533,"100925"
10092566,"Jinnaghar Union ",7232,"100925"
10092570,"Char Kukri Mukri Union ",20383,"100925"
10092573,"Mujib Nagar Union ",6437,"100925"
10092576,"Nilkamal Union ",6965,"100925"
10092585,"Nurabad Union ",8830,"100925"
10092588,"Rasul Pur Union ",12715,"100925"
10092595,"Osmanganj Union ",7122,"100925"
10092901,"Ward No-01 ",NA,"100929"
10092902,"Ward No-02 ",NA,"100929"
10092903,"Ward No-03 ",NA,"100929"
10092904,"Ward No-04 ",NA,"100929"
10092905,"Ward No-05 ",NA,"100929"
10092906,"Ward No-06 ",NA,"100929"
10092907,"Ward No-07 ",NA,"100929"
10092908,"Ward No-08 ",NA,"100929"
10092909,"Ward No-09 ",NA,"100929"
10092916,"Bhabanipur Union ",2610,"100929"
10092919,"Char Khalifa Union ",4353,"100929"
10092928,"Char Pata Union ",5641,"100929"
10092938,"Hajipur Union ",223,"100929"
10092947,"Madanpur Union ",7807,"100929"
10092957,"Medua Union ",2893,"100929"
10092976,"Uttar Joynagar Union ",7354,"100929"
10092985,"Dakshin Joynagar Union ",5073,"100929"
10092995,"Saidpur Union ",6467,"100929"
10095401,"Ward No-01 ",NA,"100954"
10095402,"Ward No-02 ",NA,"100954"
10095403,"Ward No-03 ",NA,"100954"
10095404,"Ward No-04 ",NA,"100954"
10095405,"Ward No-05 ",NA,"100954"
10095406,"Ward No-06 ",NA,"100954"
10095407,"Ward No-07 ",NA,"100954"
10095408,"Ward No-08 ",NA,"100954"
10095409,"Ward No-09 ",NA,"100954"
10095416,"Badarpur Union ",9724,"100954"
10095419,"Char Bhuta Union ",6712,"100954"
10095428,"Dhali Gaurnagar Union ",11795,"100954"
10095438,"Farazganj Union ",5698,"100954"
10095447,"Kalma Union ",8398,"100954"
10095457,"Lalmohan Union ",3736,"100954"
10095466,"Lord Hardinje Union ",11363,"100954"
10095470,"Paschim Char Umed Union ",7906,"100954"
10095476,"Ramaganj Union ",5844,"100954"
10096521,"Dakshin Sakuchia Union ",20218,"100965"
10096523,"Hajirhat Union ",24420,"100965"
10096547,"Manpura Union ",28154,"100965"
10096571,"Uttar Sakuchia Union ",19385,"100965"
10099119,"Bara Malancha Union ",10715,"100991"
10099138,"Chanchra Union ",11088,"100991"
10099157,"Chandpur Union ",9167,"100991"
10099176,"Sonapur Union ",20079,"100991"
10099185,"Shambhupur Union ",8868,"100991"
10424001,"Ward No-01 ",NA,"104240"
10424002,"Ward No-02 ",NA,"104240"
10424003,"Ward No-03 ",NA,"104240"
10424004,"Ward No-04 ",NA,"104240"
